sheet_name,rows,cols,header_row_index,year_count,first_year,last_year,entity_row_count,sample_entities,top_entities_latest_year,has_growth_info,has_share_info
Solar Consumption - EJ,124,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 7.717720673937436}, {'entity': 'Non-OECD', 'value': 4.397427195686656}, {'entity': 'Total Asia Pacific', 'value': 4.396394901109592}, {'entity': 'of which: OECD', 'value': 3.320293478250778}, {'entity': 'China', 'value': 3.020695814088115}]",True,True
Solar Installed Capacity,83,29,3.0,25,2000.0,2024.0,71,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Honduras', 'The Dominican Republic', 'Other S. & Cent. America']","[{'entity': 'Total World', 'value': 1865489.9540000004}, {'entity': 'Total Asia Pacific', 'value': 1192467.5990000002}, {'entity': 'China', 'value': 887929.8}, {'entity': 'Total Europe', 'value': 358128.11100000003}, {'entity': 'Total North America', 'value': 195567.82}]",False,False
Wind Generation - TWh,122,64,2.0,60,1965.0,2024.0,109,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 2511.030708875595}, {'entity': 'Non-OECD', 'value': 1308.1718131729365}, {'entity': 'of which: OECD', 'value': 1202.8588957026577}, {'entity': 'Total Asia Pacific', 'value': 1163.3835850667297}, {'entity': 'China', 'value': 997.0400000000001}]",True,True
Wind Consumption - EJ,124,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 9.039710551952146}, {'entity': 'Non-OECD', 'value': 4.709418527422574}, {'entity': 'of which: OECD', 'value': 4.330292024529569}, {'entity': 'Total Asia Pacific', 'value': 4.188180906240227}, {'entity': 'China', 'value': 3.589344}]",True,True
Wind Installed Capacity,76,32,3.0,28,1997.0,2024.0,64,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Costa Rica', 'Uruguay', 'Other S. & Cent. America']","[{'entity': 'Total World', 'value': 1134758.0239999997}, {'entity': 'Total Asia Pacific', 'value': 610569.823}, {'entity': 'China', 'value': 521745.71}, {'entity': 'Total Europe', 'value': 283684.9709999999}, {'entity': 'Total North America', 'value': 178846.299}]",True,True
Wind and Solar Technology Types,86,15,,0,,,0,[],[],False,False
Geo Biomass Other - TWh,122,64,2.0,60,1965.0,2024.0,109,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 792.4341592316111}, {'entity': 'Non-OECD', 'value': 402.1283287718282}, {'entity': 'of which: OECD', 'value': 390.30583045978346}, {'entity': 'Total Asia Pacific', 'value': 387.4416741374771}, {'entity': 'Total Europe', 'value': 223.4914003854701}]",True,True
Geo Biomass Other - EJ,124,64,2.0,60,1965.0,2024.0,111,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 11.057007450924496}, {'entity': 'of which: OECD', 'value': 5.716371145220945}, {'entity': 'Non-OECD', 'value': 5.34063630570355}, {'entity': 'Total Asia Pacific', 'value': 5.279639807963122}, {'entity': 'Total Europe', 'value': 3.021489440264576}]",True,True
Biofuels production - kboed,87,39,2.0,35,1990.0,2024.0,72,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Other S. & Cent. America', 'Total S. & Cent. America', 'Austria']","[{'entity': 'Total World', 'value': 2289.734790086542}, {'entity': 'of which: OECD', 'value': 1224.0447425961718}, {'entity': 'Non-OECD', 'value': 1065.6900474903698}, {'entity': 'Biofuels production by fuel type', 'value': nan}, {'entity': 'Biogasoline', 'value': nan}]",True,True
Biofuels production - PJ,87,39,2.0,35,1990.0,2024.0,72,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Other S. & Cent. America', 'Total S. & Cent. America', 'Austria']","[{'entity': 'Total World', 'value': 5128.25618805972}, {'entity': 'of which: OECD', 'value': 2741.4594270297707}, {'entity': 'Non-OECD', 'value': 2386.7967610299484}, {'entity': 'Biofuels production by fuel type', 'value': nan}, {'entity': 'Biogasoline', 'value': nan}]",True,True
Biofuels Consumption - kboed,88,39,2.0,35,1990.0,2024.0,72,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Other S. & Cent. America', 'Total S. & Cent. America', 'Austria']","[{'entity': 'Total World', 'value': 2183.2602478550534}, {'entity': 'of which: OECD', 'value': 1287.0066472096487}, {'entity': 'Total North America', 'value': 899.234809325621}, {'entity': 'Non-OECD', 'value': 896.2536006454061}, {'entity': 'Biofuels consumption by fuel type', 'value': nan}]",True,True
Biofuels consumption - PJ,88,39,2.0,35,1990.0,2024.0,72,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Colombia', 'Other S. & Cent. America', 'Total S. & Cent. America', 'Austria']","[{'entity': 'Total World', 'value': 4889.788077065599}, {'entity': 'of which: OECD', 'value': 2882.4734773660916}, {'entity': 'Total North America', 'value': 2013.9915309879723}, {'entity': 'Non-OECD', 'value': 2007.3145996995097}, {'entity': 'Biofuels consumption by fuel type', 'value': nan}]",True,True
Electricity Generation - TWh,119,44,2.0,40,1985.0,2024.0,106,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Chile', 'Colombia', 'Ecuador', 'Peru']","[{'entity': 'Total World', 'value': 31255.91438444392}, {'entity': 'Non-OECD', 'value': 19806.1840921096}, {'entity': 'Total Asia Pacific', 'value': 16132.35111972445}, {'entity': 'of which: OECD', 'value': 11449.73029233431}, {'entity': 'China', 'value': 10086.880000000001}]",True,True
Elec generation by fuel,63,17,,0,,,0,[],[],False,False
Oil inputs - Elec generation ,65,44,2.0,40,1985.0,2024.0,52,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Other S. & Cent. America', 'Total S. & Cent. America', 'France', 'Germany']","[{'entity': 'Total World', 'value': 694.6869783928956}, {'entity': 'Non-OECD', 'value': 553.517199640096}, {'entity': 'Total Middle East', 'value': 324.4212362149595}, {'entity': 'Saudi Arabia', 'value': 156.8444469486441}, {'entity': 'of which: OECD', 'value': 141.1697787527992}]",True,True
Gas inputs - Elec generation,65,44,2.0,40,1985.0,2024.0,52,"['Canada', 'Mexico', 'US', 'Total North America', 'Argentina', 'Brazil', 'Other S. & Cent. America', 'Total S. & Cent. America', 'France', 'Germany']","[{'entity': 'Total World', 'value': 7001.219345804347}, {'entity': 'of which: OECD', 'value': 3532.2380938789015}, {'entity': 'Non-OECD', 'value': 3468.981251925446}, {'entity': 'Total North America', 'value': 2335.884441998345}, {'entity': 'US', 'value': 2005.2406559139783}]",True,True
